,0
1994-03-17,1241.1070138190462
1994-03-18,1949.9385406190643
1994-03-21,2769.769434201215
1994-03-22,3018.214325622974
1994-03-23,3036.4658993556072
1994-03-24,3188.0657056654345
1994-03-25,3382.8733191790493
1994-03-28,4055.946660706969
1994-03-29,3906.954222073229
1994-03-30,3777.70328155846
1994-03-31,3871.9409989942988
1994-04-01,4229.522851715274
1994-04-04,4205.311580437292
1994-04-05,4633.292360412708
1994-04-06,4836.294558051176
1994-04-07,4867.9554512608465
1994-04-08,4848.213953141877
1994-04-11,5524.267143442468
1994-04-12,5693.373561291765
1994-04-13,5604.723060304686
1994-04-14,6363.09457295042
1994-04-15,7937.572168212464
1994-04-18,6923.106621195545
1994-04-19,7319.609451485723
1994-04-20,8216.749168222022
1994-04-21,8238.253671995455
1994-04-22,6913.091549391902
1994-04-25,7241.915889763995
1994-04-26,6118.673893151264
1994-04-27,5366.0871401421855
1994-04-28,4921.799113113257
1994-04-29,5246.017100759251
1994-05-03,4935.809229285173
1994-05-04,3773.041722167321
1994-05-05,4745.54085155351
1994-05-06,4704.278615716108
1994-05-09,4476.575287924142
1994-05-10,4140.356568799494
1994-05-11,3739.3111638954883
1994-05-12,4151.276722090263
1994-05-13,4378.859857482188
1994-05-16,2915.2219938019707
1994-05-17,1952.519149341076
1994-05-18,1829.5104195251074
1994-05-19,1897.9880157840857
1994-05-20,1336.775953622056
1994-05-23,1433.234276806156
1994-05-24,1427.8754810737053
1994-05-25,1493.6425196083192
1994-05-26,1942.8070346373067
1994-05-27,2408.535100112045
1994-05-30,3537.7795099137675
1994-05-31,3801.3348273006272
1994-06-01,3504.165245773857
1994-06-02,3542.1639791494094
1994-06-03,3018.4430271549754
1994-06-06,3097.1206922273595
1994-06-07,3746.5811328260993
1994-06-08,3999.2043363667985
1994-06-09,4090.2083644139443
1994-06-10,4275.020096463024
1994-06-13,5300.944533762057
1994-06-14,5519.493569131833
1994-06-15,5214.626925923432
1994-06-16,5024.894032160398
1994-06-17,4561.158581712978
1994-06-20,4746.349996635942
1994-06-21,5031.453946040503
1994-06-22,4672.800771273449
1994-06-23,4701.72352553152
1994-06-24,4883.720930232559
1994-06-27,5337.452222629459
1994-06-28,5137.280554426039
1994-06-29,4716.466936182501
1994-06-30,5162.070459139476
1994-07-01,5000.8196273427675
1994-07-04,6060.324572427735
1994-07-05,6164.144035845034
1994-07-06,6119.63190184049
1994-07-07,6244.946091644207
1994-07-08,6083.782569631628
1994-07-11,5519.422206087473
1994-07-12,5510.824082389131
1994-07-13,5329.117068230889
1994-07-14,5319.372528039437
1994-07-15,6326.499417238283
1994-07-18,7216.691824139709
1994-07-19,7469.476660870895
1994-07-20,6738.654517484172
1994-07-21,7473.522276788352
1994-07-22,8563.99029643216
1994-07-25,8726.170710727933
1994-07-26,6909.090909090908
1994-07-27,6567.897053843548
1994-07-28,8472.739586860818
1994-07-29,9166.151682400325
1994-08-01,5836.725126259933
1994-08-02,1303.2492575025503
1994-08-03,1135.0237155902296
1994-08-04,1917.5213445739157
1994-08-05,0.0
1994-08-08,2032.3950699533668
1994-08-09,4655.229846768824
1994-08-10,5130.746169220521
1994-08-11,3166.9105733549395
1994-08-12,3529.5039983274996
1994-08-15,4355.041028589349
1994-08-16,3814.8748236032006
1994-08-17,2834.108608163908
1994-08-18,1537.7881147755193
1994-08-19,2285.318559556789
1994-08-22,3786.6513353891187
1994-08-23,3592.614853917319
1994-08-24,2377.4368891444137
1994-08-25,2385.2767469816554
1994-08-26,2270.0308367741627
1994-08-29,2304.9182041499007
1994-08-30,1954.868551716929
1994-08-31,365.60227140134924
1994-09-01,1.9093443311592855
1994-09-02,0.0
1994-09-05,103.65489691905016
1994-09-06,1124.1369390103578
1994-09-07,1763.8391486749183
1994-09-08,1229.1005832395365
1994-09-09,965.5649766395572
1994-09-12,447.58598547176643
1994-09-13,339.6859689055209
1994-09-14,2024.8811182093277
1994-09-15,3179.691627839955
1994-09-16,2506.172246505597
1994-09-19,3317.7386041596615
1994-09-20,4137.66271194582
1994-09-21,3233.5847062779203
1994-09-22,3660.406359575388
1994-09-23,5044.046303857056
1994-09-26,5666.842787838033
1994-09-27,5063.9319852058225
1994-09-28,4605.696719342909
1994-09-29,6279.840530284838
1994-09-30,7242.71098515779
1994-10-05,10348.62385321101
1994-10-06,10982.083673567417
1994-10-07,14241.606225082858
1994-10-10,10813.487679523512
1994-10-11,9825.543974254288
1994-10-12,9637.06229886162
1994-10-13,11708.919736778907
1994-10-14,12908.400979874155
1994-10-17,12261.395840338153
1994-10-18,11150.17303847442
1994-10-19,10750.769981398467
1994-10-20,9573.911169049798
1994-10-21,8246.681926894613
1994-10-24,7368.431857607705
1994-10-25,7073.115652682688
1994-10-26,7758.974192078628
1994-10-27,7928.857356722102
1994-10-28,8011.19536563934
1994-10-31,9078.33501480782
1994-11-01,8609.36635532268
1994-11-02,5471.342522449283
1994-11-03,4513.007035251774
1994-11-04,4903.784436865222
1994-11-07,5508.262330568739
1994-11-08,3652.9191889953054
1994-11-09,3873.41580980908
1994-11-10,3192.670249317243
1994-11-11,3268.5603533986955
1994-11-14,2606.692928250503
1994-11-15,3385.9823552361677
1994-11-16,3787.3315126420603
1994-11-17,3688.4100834413603
1994-11-18,4113.545691380245
1994-11-21,3799.4135192619906
1994-11-22,3946.2854122355525
1994-11-23,4457.88288004833
1994-11-24,2575.203252032521
1994-11-25,2195.121951219512
1994-11-28,2440.6504065040635
1994-11-29,2739.4308943089427
1994-11-30,2243.902439024392
1994-12-01,2357.723577235772
1994-12-02,2455.2845528455273
1994-12-05,3060.162601626015
1994-12-06,3629.2682926829257
1994-12-07,3521.5447154471544
1994-12-08,3850.8130081300824
1994-12-09,4155.284552845529
1994-12-12,4558.041633065893
1994-12-13,4504.325957109469
1994-12-14,3887.076537013799
1994-12-15,3425.2502969624984
1994-12-16,2091.464449346681
1994-12-19,2082.3599794883494
1994-12-20,2015.2697851974233
1994-12-21,1561.0221639792594
1994-12-22,1677.1148632170894
1994-12-23,911.5035361287665
1994-12-26,954.969946491847
1994-12-27,1209.5365626455489
1994-12-28,1694.6611551001374
